Order_item_ID,Order_ID,Customer_ID,Order_date,ID (SKU),Inventory_ID,Size,Color,Quantity,Unit_price(INR),Line_total(INR),Payment_method,Payment_status,Order_status,Warehouse_shipped_from,Courier_partner,Tracking_number,Shipped_at,Expected_delivery,Delivered_at,Return_reason,Shipping_city,Shipping_pincode
OI-000101,ORD-2026-000065,CUST-0047,2026-06-19 12:43,APL-BTM-F-028,APL-BTM-F-028-XS-BLA,XS,Black,1,1499,1499,Credit/Debit Card,paid,delivered,DEL-FC1,DTDC,AWB4848724787,2026-06-19,2026-06-23,2026-06-22,,Chennai,600001
OI-000102,ORD-2026-000066,CUST-0021,2026-07-05 19:03,APL-BTM-F-079,APL-BTM-F-079-XS-BLA,XS,Black,1,1299,1299,UPI,paid,delivered,MUM-FC1,Ekart,AWB1951925865,2026-07-07,2026-07-09,2026-07-10,,Kochi,682001
OI-000103,ORD-2026-000066,CUST-0021,2026-07-05 19:03,APL-BTM-F-078,APL-BTM-F-078-L-DAR,L,Dark Blue,2,1999,3998,UPI,paid,delivered,MUM-FC1,Ekart,AWB1951925865,2026-07-07,2026-07-09,2026-07-10,,Kochi,682001
OI-000104,ORD-2026-000067,CUST-0034,2026-06-20 08:01,APL-BTM-F-077,APL-BTM-F-077-XXL-ECR,XXL,Ecru,1,2299,2299,UPI,paid,delivered,BLR-FC1,DTDC,AWB1574351847,2026-06-20,2026-06-26,2026-06-23,,Jaipur,302001
OI-000105,ORD-2026-000067,CUST-0034,2026-06-20 08:01,APL-TOP-F-023,APL-TOP-F-023-XL-CHA,XL,Champagne,2,2299,4598,UPI,paid,delivered,BLR-FC1,DTDC,AWB1574351847,2026-06-20,2026-06-26,2026-06-23,,Jaipur,302001
OI-000106,ORD-2026-000068,CUST-0063,2026-06-26 09:40,APL-BTM-M-060,APL-BTM-M-060-L-GRE,L,Grey,1,1999,1999,UPI,paid,delivered,DEL-FC1,Delhivery,AWB7779487760,2026-06-28,2026-07-02,2026-07-03,,Chennai,600001
OI-000107,ORD-2026-000068,CUST-0063,2026-06-26 09:40,APL-TOP-F-022,APL-TOP-F-022-XL-WHI,XL,White,1,1499,1499,UPI,paid,delivered,DEL-FC1,Delhivery,AWB7779487760,2026-06-28,2026-07-02,2026-07-03,,Chennai,600001
OI-000108,ORD-2026-000068,CUST-0063,2026-06-26 09:40,APL-BTM-M-012,APL-BTM-M-012-M-BLA,M,Black,1,1499,1499,UPI,paid,delivered,DEL-FC1,Delhivery,AWB7779487760,2026-06-28,2026-07-02,2026-07-03,,Chennai,600001
OI-000109,ORD-2026-000068,CUST-0063,2026-06-26 09:40,APL-TOP-M-001,APL-TOP-M-001-XS-WHI,XS,White,1,499,499,UPI,paid,delivered,DEL-FC1,Delhivery,AWB7779487760,2026-06-28,2026-07-02,2026-07-03,,Chennai,600001
OI-000110,ORD-2026-000069,CUST-0015,2026-07-08 17:35,APL-BTM-F-083,APL-BTM-F-083-XS-DEE,XS,Deep Plum,1,1499,1499,COD,paid,delivered,MUM-FC1,DTDC,AWB2328787694,2026-07-11,2026-07-16,2026-07-14,,Jaipur,302001
OI-000111,ORD-2026-000069,CUST-0015,2026-07-08 17:35,APL-TOP-M-003,APL-TOP-M-003-L-BOT,L,Bottle Green,1,1199,1199,COD,paid,delivered,MUM-FC1,DTDC,AWB2328787694,2026-07-11,2026-07-16,2026-07-14,,Jaipur,302001
OI-000112,ORD-2026-000070,CUST-0120,2026-07-15 10:14,APL-ACC-F-098,APL-ACC-F-098-M-NUD,M,Nude,1,399,399,COD,pending,shipped,BLR-FC1,Ekart,AWB8212258901,2026-07-17,2026-07-21,,,Mumbai,400001
OI-000113,ORD-2026-000070,CUST-0120,2026-07-15 10:14,APL-ACC-F-044,APL-ACC-F-044-FS-RUS,Free Size,Rust,2,799,1598,COD,pending,shipped,BLR-FC1,Ekart,AWB8212258901,2026-07-17,2026-07-21,,,Mumbai,400001
OI-000114,ORD-2026-000071,CUST-0056,2026-07-18 10:16,APL-TOP-F-071,APL-TOP-F-071-XS-LIG,XS,Light Blue,1,2499,2499,UPI,paid,packed,MUM-FC1,,,,,,,Delhi,110001
OI-000115,ORD-2026-000072,CUST-0062,2026-06-08 22:44,APL-ACC-F-050,APL-ACC-F-050-M-WHI,M,White,1,499,499,COD,paid,delivered,MUM-FC1,Delhivery,AWB6205354788,2026-06-09,2026-06-12,2026-06-14,,Ahmedabad,380001
OI-000116,ORD-2026-000072,CUST-0062,2026-06-08 22:44,APL-ACC-F-038,APL-ACC-F-038-FS-GUN,Free Size,Gunmetal,1,899,899,COD,paid,delivered,MUM-FC1,Delhivery,AWB6205354788,2026-06-09,2026-06-12,2026-06-14,,Ahmedabad,380001
OI-000117,ORD-2026-000073,CUST-0160,2026-06-29 10:44,APL-BTM-M-017,APL-BTM-M-017-M-WHI,M,White,2,999,1998,UPI,refunded,cancelled,MUM-FC1,,,,,,,Chandigarh,160017
OI-000118,ORD-2026-000073,CUST-0160,2026-06-29 10:44,APL-TOP-F-021,APL-TOP-F-021-XS-TEA,XS,Teal,1,2299,2299,UPI,refunded,cancelled,MUM-FC1,,,,,,,Chandigarh,160017
OI-000119,ORD-2026-000074,CUST-0052,2026-06-10 22:42,APL-ACC-F-093,APL-ACC-F-093-FS-BLA,Free Size,Black,1,799,799,Netbanking,paid,delivered,DEL-FC1,Bluedart,AWB1145430293,2026-06-11,2026-06-13,2026-06-17,,Kolkata,700001
OI-000120,ORD-2026-000075,CUST-0123,2026-07-18 20:48,APL-BTM-F-028,APL-BTM-F-028-L-PLU,L,Plum,1,1499,1499,UPI,paid,pending,DEL-FC1,,,,,,,Chennai,600001
OI-000121,ORD-2026-000076,CUST-0095,2026-06-13 17:32,APL-TOP-M-007,APL-TOP-M-007-XXL-WHI,XXL,White,1,1499,1499,Credit/Debit Card,paid,delivered,DEL-FC1,XpressBees,AWB9796595952,2026-06-15,2026-06-19,2026-06-20,,Kolkata,700001
OI-000122,ORD-2026-000077,CUST-0074,2026-07-17 11:18,APL-BTM-M-013,APL-BTM-M-013-L-KHA,L,Khaki,1,1299,1299,UPI,paid,packed,DEL-FC1,,,,,,,Ahmedabad,380001
OI-000123,ORD-2026-000077,CUST-0074,2026-07-17 11:18,APL-BTM-M-060,APL-BTM-M-060-XL-GRE,XL,Grey,2,1999,3998,UPI,paid,packed,DEL-FC1,,,,,,,Ahmedabad,380001
OI-000124,ORD-2026-000078,CUST-0132,2026-05-31 12:52,APL-TOP-F-024,APL-TOP-F-024-L-LIL,L,Lilac,1,1499,1499,COD,paid,delivered,MUM-FC1,Delhivery,AWB4379852075,2026-06-02,2026-06-08,2026-06-08,,Mumbai,400001
OI-000125,ORD-2026-000079,CUST-0102,2026-06-14 14:56,APL-TOP-M-004,APL-TOP-M-004-M-MAR,M,Maroon,1,1999,1999,UPI,paid,delivered,MUM-FC1,DTDC,AWB9349073211,2026-06-14,2026-06-17,2026-06-16,,Kolkata,700001
OI-000126,ORD-2026-000080,CUST-0084,2026-06-07 15:42,APL-TOP-F-023,APL-TOP-F-023-M-CHA,M,Champagne,1,2299,2299,COD,paid,delivered,BLR-FC1,DTDC,AWB6117770464,2026-06-07,2026-06-11,2026-06-10,,Chandigarh,160017
OI-000127,ORD-2026-000080,CUST-0084,2026-06-07 15:42,APL-BTM-F-032,APL-BTM-F-032-XXL-TAU,XXL,Taupe,1,1799,1799,COD,paid,delivered,BLR-FC1,DTDC,AWB6117770464,2026-06-07,2026-06-11,2026-06-10,,Chandigarh,160017
OI-000128,ORD-2026-000081,CUST-0090,2026-06-30 11:16,APL-BTM-F-028,APL-BTM-F-028-XXL-BLA,XXL,Black,1,1499,1499,UPI,paid,delivered,DEL-FC1,Bluedart,AWB8708984410,2026-07-01,2026-07-04,2026-07-07,,Lucknow,226001
OI-000129,ORD-2026-000082,CUST-0164,2026-07-01 22:24,APL-TOP-F-071,APL-TOP-F-071-L-WHI,L,White,1,2499,2499,Credit/Debit Card,refunded,returned,MUM-FC1,Bluedart,AWB2989769241,2026-07-04,2026-07-08,2026-07-06,Size too large,Kolkata,700001
OI-000130,ORD-2026-000083,CUST-0111,2026-06-21 18:26,APL-BTM-M-061,APL-BTM-M-061-XS-CHA,XS,Charcoal,1,1799,1799,COD,paid,delivered,MUM-FC1,DTDC,AWB3755388264,2026-06-22,2026-06-25,2026-06-26,,Lucknow,226001
OI-000131,ORD-2026-000084,CUST-0026,2026-07-02 14:45,APL-BTM-F-082,APL-BTM-F-082-S-CHE,S,Checked Grey,2,1199,2398,Credit/Debit Card,paid,delivered,BLR-FC1,Delhivery,AWB8105979166,2026-07-04,2026-07-10,2026-07-05,,Ahmedabad,380001
OI-000132,ORD-2026-000085,CUST-0028,2026-07-17 10:45,APL-BTM-F-083,APL-BTM-F-083-XL-BLA,XL,Black,1,1499,1499,COD,pending,packed,MUM-FC1,,,,,,,Mumbai,400001
OI-000133,ORD-2026-000086,CUST-0164,2026-06-28 13:26,APL-BTM-M-014,APL-BTM-M-014-XS-CHA,XS,Charcoal,1,1999,1999,Wallet,paid,delivered,BLR-FC1,DTDC,AWB5538141076,2026-06-29,2026-07-05,2026-07-02,,Delhi,110001
OI-000134,ORD-2026-000087,CUST-0108,2026-06-19 18:22,APL-TOP-M-052,APL-TOP-M-052-XL-RED,XL,Red-Black Check,1,1499,1499,UPI,paid,delivered,MUM-FC1,Bluedart,AWB1706665356,2026-06-21,2026-06-24,2026-06-22,,Kolkata,700001
OI-000135,ORD-2026-000087,CUST-0108,2026-06-19 18:22,APL-BTM-F-083,APL-BTM-F-083-S-BLA,S,Black,1,1499,1499,UPI,paid,delivered,MUM-FC1,Bluedart,AWB1706665356,2026-06-21,2026-06-24,2026-06-22,,Kolkata,700001
OI-000136,ORD-2026-000087,CUST-0108,2026-06-19 18:22,APL-TOP-M-056,APL-TOP-M-056-XXL-WAS,XXL,Washed Black,1,2999,2999,UPI,paid,delivered,MUM-FC1,Bluedart,AWB1706665356,2026-06-21,2026-06-24,2026-06-22,,Kolkata,700001
OI-000137,ORD-2026-000088,CUST-0106,2026-07-01 16:41,APL-ACC-F-047,APL-ACC-F-047-M-WHI,M,White,1,499,499,COD,paid,delivered,BLR-FC1,XpressBees,AWB3915503764,2026-07-03,2026-07-08,2026-07-07,,Hyderabad,500001
OI-000138,ORD-2026-000089,CUST-0168,2026-06-25 14:39,APL-TOP-M-002,APL-TOP-M-002-XS-WHI,XS,White,2,1499,2998,COD,paid,delivered,BLR-FC1,Delhivery,AWB8865493865,2026-06-26,2026-06-30,2026-07-02,,Chennai,600001
OI-000139,ORD-2026-000089,CUST-0168,2026-06-25 14:39,APL-BTM-F-029,APL-BTM-F-029-L-BLA,L,Black,1,1499,1499,COD,paid,delivered,BLR-FC1,Delhivery,AWB8865493865,2026-06-26,2026-06-30,2026-07-02,,Chennai,600001
OI-000140,ORD-2026-000090,CUST-0065,2026-06-21 21:14,APL-TOP-M-053,APL-TOP-M-053-XXL-WHI,XXL,White,1,1999,1999,Credit/Debit Card,paid,delivered,BLR-FC1,DTDC,AWB9978224563,2026-06-22,2026-06-28,2026-06-27,,Hyderabad,500001
OI-000141,ORD-2026-000090,CUST-0065,2026-06-21 21:14,APL-TOP-F-026,APL-TOP-F-026-XS-SKY,XS,Sky,1,999,999,Credit/Debit Card,paid,delivered,BLR-FC1,DTDC,AWB9978224563,2026-06-22,2026-06-28,2026-06-27,,Hyderabad,500001
OI-000142,ORD-2026-000091,CUST-0021,2026-06-26 22:07,APL-TOP-M-002,APL-TOP-M-002-XL-SKY,XL,Sky Blue,1,1499,1499,UPI,paid,delivered,BLR-FC1,XpressBees,AWB3110427650,2026-06-28,2026-07-03,2026-07-02,,Delhi,110001
OI-000143,ORD-2026-000092,CUST-0083,2026-06-22 18:18,APL-BTM-F-033,APL-BTM-F-033-XS-ROS,XS,Rosewood,1,1299,1299,COD,paid,delivered,DEL-FC1,Bluedart,AWB9678238138,2026-06-25,2026-06-27,2026-06-26,,Lucknow,226001
OI-000144,ORD-2026-000092,CUST-0083,2026-06-22 18:18,APL-TOP-M-007,APL-TOP-M-007-S-MUS,S,Mustard,1,1499,1499,COD,paid,delivered,DEL-FC1,Bluedart,AWB9678238138,2026-06-25,2026-06-27,2026-06-26,,Lucknow,226001
OI-000145,ORD-2026-000093,CUST-0037,2026-07-15 18:08,APL-TOP-M-056,APL-TOP-M-056-M-MID,M,Mid-Blue,1,2999,2999,COD,pending,confirmed,MUM-FC1,,,,,,,Ahmedabad,380001
OI-000146,ORD-2026-000093,CUST-0037,2026-07-15 18:08,APL-BTM-M-064,APL-BTM-M-064-S-KHA,S,Khaki,1,999,999,COD,pending,confirmed,MUM-FC1,,,,,,,Ahmedabad,380001
OI-000147,ORD-2026-000094,CUST-0142,2026-07-16 12:22,APL-BTM-M-065,APL-BTM-M-065-XS-BLA,XS,Black,1,1999,1999,COD,pending,shipped,MUM-FC1,Ekart,AWB4401404243,2026-07-16,2026-07-21,,,Chennai,600001
OI-000148,ORD-2026-000095,CUST-0033,2026-06-19 20:02,APL-TOP-M-006,APL-TOP-M-006-S-BLA,S,Black,2,2999,5998,COD,paid,delivered,DEL-FC1,XpressBees,AWB1199272221,2026-06-20,2026-06-22,2026-06-24,,Kochi,682001
OI-000149,ORD-2026-000095,CUST-0033,2026-06-19 20:02,APL-TOP-F-068,APL-TOP-F-068-M-IVO,M,Ivory,1,1299,1299,COD,paid,delivered,DEL-FC1,XpressBees,AWB1199272221,2026-06-20,2026-06-22,2026-06-24,,Kochi,682001
OI-000150,ORD-2026-000096,CUST-0158,2026-07-18 11:02,APL-BTM-F-078,APL-BTM-F-078-XXL-DAR,XXL,Dark Blue,1,1999,1999,Credit/Debit Card,paid,confirmed,MUM-FC1,,,,,,,Mumbai,400001
OI-000151,ORD-2026-000096,CUST-0158,2026-07-18 11:02,APL-TOP-F-024,APL-TOP-F-024-XS-GRE,XS,Grey,1,1499,1499,Credit/Debit Card,paid,confirmed,MUM-FC1,,,,,,,Mumbai,400001
OI-000152,ORD-2026-000096,CUST-0158,2026-07-18 11:02,APL-TOP-M-003,APL-TOP-M-003-XS-GRE,XS,Grey Melange,1,1199,1199,Credit/Debit Card,paid,confirmed,MUM-FC1,,,,,,,Mumbai,400001
OI-000153,ORD-2026-000097,CUST-0144,2026-06-07 10:26,APL-BTM-M-017,APL-BTM-M-017-XS-SAG,XS,Sage,1,999,999,UPI,refunded,cancelled,MUM-FC1,,,,,,,Kochi,682001
OI-000154,ORD-2026-000097,CUST-0144,2026-06-07 10:26,APL-BTM-F-084,APL-BTM-F-084-XXL-TAU,XXL,Taupe,1,1499,1499,UPI,refunded,cancelled,MUM-FC1,,,,,,,Kochi,682001
OI-000155,ORD-2026-000097,CUST-0144,2026-06-07 10:26,APL-ACC-M-097,APL-ACC-M-097-M-ASS,M,Assorted Prints,1,799,799,UPI,refunded,cancelled,MUM-FC1,,,,,,,Kochi,682001
OI-000156,ORD-2026-000097,CUST-0144,2026-06-07 10:26,APL-TOP-M-004,APL-TOP-M-004-XXL-MAR,XXL,Maroon,1,1999,1999,UPI,refunded,cancelled,MUM-FC1,,,,,,,Kochi,682001
OI-000157,ORD-2026-000098,CUST-0104,2026-07-15 14:38,APL-BTM-F-077,APL-BTM-F-077-L-ECR,L,Ecru,1,2299,2299,Wallet,paid,confirmed,BLR-FC1,,,,,,,Ahmedabad,380001
OI-000158,ORD-2026-000099,CUST-0039,2026-06-26 08:43,APL-TOP-M-005,APL-TOP-M-005-M-NAV,M,Navy,1,1499,1499,Credit/Debit Card,paid,delivered,DEL-FC1,Bluedart,AWB6335510656,2026-06-27,2026-07-01,2026-07-03,,Hyderabad,500001
OI-000159,ORD-2026-000099,CUST-0039,2026-06-26 08:43,APL-ACC-M-046,APL-ACC-M-046-L-WHI,L,White,1,499,499,Credit/Debit Card,paid,delivered,DEL-FC1,Bluedart,AWB6335510656,2026-06-27,2026-07-01,2026-07-03,,Hyderabad,500001
OI-000160,ORD-2026-000100,CUST-0038,2026-07-09 18:35,APL-BTM-F-080,APL-BTM-F-080-L-COC,L,Cocoa,1,699,699,Wallet,paid,delivered,DEL-FC1,Delhivery,AWB3655250739,2026-07-09,2026-07-11,2026-07-13,,Chennai,600001
OI-000161,ORD-2026-000101,CUST-0125,2026-06-30 17:46,APL-TOP-M-054,APL-TOP-M-054-S-FOR,S,Forest Green,1,1499,1499,UPI,paid,delivered,BLR-FC1,Bluedart,AWB8671852121,2026-07-03,2026-07-08,2026-07-06,,Mumbai,400001
OI-000162,ORD-2026-000101,CUST-0125,2026-06-30 17:46,APL-TOP-M-053,APL-TOP-M-053-M-WHI,M,White,1,1999,1999,UPI,paid,delivered,BLR-FC1,Bluedart,AWB8671852121,2026-07-03,2026-07-08,2026-07-06,,Mumbai,400001
OI-000163,ORD-2026-000102,CUST-0167,2026-06-09 13:55,APL-ACC-F-043,APL-ACC-F-043-FS-BLU,Free Size,Blush,1,1199,1199,Credit/Debit Card,paid,delivered,BLR-FC1,DTDC,AWB7233154913,2026-06-10,2026-06-15,2026-06-16,,Kochi,682001
OI-000164,ORD-2026-000103,CUST-0041,2026-06-10 22:50,APL-TOP-F-072,APL-TOP-F-072-L-BLA,L,Black,1,2999,2999,Credit/Debit Card,refunded,cancelled,DEL-FC1,,,,,,,Kochi,682001
OI-000165,ORD-2026-000103,CUST-0041,2026-06-10 22:50,APL-TOP-F-068,APL-TOP-F-068-S-IVO,S,Ivory,1,1299,1299,Credit/Debit Card,refunded,cancelled,DEL-FC1,,,,,,,Kochi,682001
OI-000166,ORD-2026-000103,CUST-0041,2026-06-10 22:50,APL-BTM-F-034,APL-BTM-F-034-L-BLA,L,Black,1,1299,1299,Credit/Debit Card,refunded,cancelled,DEL-FC1,,,,,,,Kochi,682001
OI-000167,ORD-2026-000103,CUST-0041,2026-06-10 22:50,APL-TOP-F-070,APL-TOP-F-070-S-NAV,S,Navy,1,1199,1199,Credit/Debit Card,refunded,cancelled,DEL-FC1,,,,,,,Kochi,682001
OI-000168,ORD-2026-000104,CUST-0060,2026-07-11 14:29,APL-BTM-F-032,APL-BTM-F-032-L-BLA,L,Black,1,1799,1799,COD,pending,shipped,BLR-FC1,XpressBees,AWB8759180331,2026-07-13,2026-07-19,,,Bengaluru,560001
OI-000169,ORD-2026-000104,CUST-0060,2026-07-11 14:29,APL-TOP-F-073,APL-TOP-F-073-M-RUS,M,Rust,2,1499,2998,COD,pending,shipped,BLR-FC1,XpressBees,AWB8759180331,2026-07-13,2026-07-19,,,Bengaluru,560001
OI-000170,ORD-2026-000105,CUST-0134,2026-06-24 11:12,APL-BTM-F-082,APL-BTM-F-082-L-CHE,L,Checked Grey,1,1199,1199,Credit/Debit Card,paid,delivered,BLR-FC1,DTDC,AWB4680575349,2026-06-26,2026-07-01,2026-06-28,,Chennai,600001
OI-000171,ORD-2026-000106,CUST-0028,2026-06-25 09:09,APL-BTM-F-028,APL-BTM-F-028-M-PLU,M,Plum,2,1499,2998,UPI,refunded,returned,DEL-FC1,Delhivery,AWB3436036525,2026-06-25,2026-07-01,2026-06-28,Color mismatch,Kochi,682001
OI-000172,ORD-2026-000106,CUST-0028,2026-06-25 09:09,APL-TOP-M-057,APL-TOP-M-057-L-BLA,L,Black,1,2499,2499,UPI,refunded,returned,DEL-FC1,Delhivery,AWB3436036525,2026-06-25,2026-07-01,2026-06-28,Received damaged,Kochi,682001
OI-000173,ORD-2026-000106,CUST-0028,2026-06-25 09:09,APL-TOP-M-007,APL-TOP-M-007-M-MUS,M,Mustard,2,1499,2998,UPI,refunded,returned,DEL-FC1,Delhivery,AWB3436036525,2026-06-25,2026-07-01,2026-06-28,Different from images,Kochi,682001
OI-000174,ORD-2026-000107,CUST-0010,2026-05-23 14:05,APL-BTM-M-017,APL-BTM-M-017-XXL-SAG,XXL,Sage,2,999,1998,UPI,refunded,cancelled,MUM-FC1,,,,,,,Pune,411001
OI-000175,ORD-2026-000108,CUST-0164,2026-07-07 09:16,APL-BTM-M-061,APL-BTM-M-061-L-STO,L,Stone,2,1799,3598,UPI,paid,delivered,MUM-FC1,XpressBees,AWB4095432323,2026-07-07,2026-07-10,2026-07-09,,Lucknow,226001
OI-000176,ORD-2026-000109,CUST-0016,2026-06-04 21:58,APL-ACC-F-038,APL-ACC-F-038-FS-GUN,Free Size,Gunmetal,1,899,899,Credit/Debit Card,refunded,cancelled,MUM-FC1,,,,,,,Chandigarh,160017
OI-000177,ORD-2026-000110,CUST-0002,2026-06-17 12:37,APL-TOP-F-023,APL-TOP-F-023-M-EME,M,Emerald,2,2299,4598,UPI,paid,delivered,BLR-FC1,Ekart,AWB7362191512,2026-06-18,2026-06-22,2026-06-20,,Pune,411001
OI-000178,ORD-2026-000111,CUST-0004,2026-06-03 20:02,APL-TOP-M-054,APL-TOP-M-054-XL-FOR,XL,Forest Green,1,1499,1499,UPI,paid,delivered,BLR-FC1,Bluedart,AWB4617433251,2026-06-04,2026-06-09,2026-06-10,,Kochi,682001
OI-000179,ORD-2026-000112,CUST-0060,2026-06-19 10:21,APL-TOP-F-076,APL-TOP-F-076-XS-BLA,XS,Black,1,799,799,Credit/Debit Card,refunded,returned,DEL-FC1,XpressBees,AWB2768588823,2026-06-19,2026-06-24,2026-06-21,Different from images,Jaipur,302001
OI-000180,ORD-2026-000113,CUST-0043,2026-07-08 15:57,APL-BTM-F-079,APL-BTM-F-079-XS-BLA,XS,Black,1,1299,1299,COD,paid,delivered,MUM-FC1,Bluedart,AWB5806880626,2026-07-10,2026-07-14,2026-07-12,,Lucknow,226001
OI-000181,ORD-2026-000113,CUST-0043,2026-07-08 15:57,APL-BTM-M-061,APL-BTM-M-061-XS-CHA,XS,Charcoal,1,1799,1799,COD,paid,delivered,MUM-FC1,Bluedart,AWB5806880626,2026-07-10,2026-07-14,2026-07-12,,Lucknow,226001
OI-000182,ORD-2026-000113,CUST-0043,2026-07-08 15:57,APL-TOP-M-058,APL-TOP-M-058-XS-BLA,XS,Black,2,599,1198,COD,paid,delivered,MUM-FC1,Bluedart,AWB5806880626,2026-07-10,2026-07-14,2026-07-12,,Lucknow,226001
OI-000183,ORD-2026-000113,CUST-0043,2026-07-08 15:57,APL-TOP-M-058,APL-TOP-M-058-XXL-WHI,XXL,White,1,599,599,COD,paid,delivered,MUM-FC1,Bluedart,AWB5806880626,2026-07-10,2026-07-14,2026-07-12,,Lucknow,226001
OI-000184,ORD-2026-000114,CUST-0076,2026-07-18 15:51,APL-TOP-M-009,APL-TOP-M-009-XL-BLA,XL,Black,2,3999,7998,COD,pending,confirmed,BLR-FC1,,,,,,,Jaipur,302001
OI-000185,ORD-2026-000115,CUST-0056,2026-07-05 21:11,APL-ACC-F-087,APL-ACC-F-087-FS-ROS,Free Size,Rose Gold,1,999,999,UPI,paid,delivered,DEL-FC1,Delhivery,AWB8564638531,2026-07-08,2026-07-13,2026-07-10,,Kochi,682001
OI-000186,ORD-2026-000116,CUST-0161,2026-06-21 11:00,APL-BTM-M-060,APL-BTM-M-060-S-WAS,S,Washed Blue,1,1999,1999,COD,paid,delivered,DEL-FC1,DTDC,AWB3117492362,2026-06-22,2026-06-26,2026-06-23,,Chandigarh,160017
OI-000187,ORD-2026-000117,CUST-0171,2026-07-04 21:23,APL-BTM-F-081,APL-BTM-F-081-S-BLA,S,Black,2,1299,2598,Credit/Debit Card,refunded,cancelled,MUM-FC1,,,,,,,Kochi,682001
OI-000188,ORD-2026-000118,CUST-0019,2026-07-17 21:53,APL-TOP-F-024,APL-TOP-F-024-XL-GRE,XL,Grey,2,1499,2998,Credit/Debit Card,paid,confirmed,MUM-FC1,,,,,,,Kolkata,700001
OI-000189,ORD-2026-000119,CUST-0127,2026-07-13 20:34,APL-BTM-M-013,APL-BTM-M-013-M-STO,M,Stone Grey,1,1299,1299,UPI,paid,delivered,DEL-FC1,Bluedart,AWB5103214393,2026-07-14,2026-07-18,2026-07-15,,Kochi,682001
OI-000190,ORD-2026-000120,CUST-0154,2026-06-25 11:44,APL-TOP-M-055,APL-TOP-M-055-M-BLA,M,Black,2,1799,3598,UPI,paid,delivered,DEL-FC1,Ekart,AWB8565633721,2026-06-25,2026-06-30,2026-06-26,,Delhi,110001
OI-000191,ORD-2026-000121,CUST-0139,2026-06-07 10:42,APL-BTM-M-017,APL-BTM-M-017-XXL-WHI,XXL,White,1,999,999,UPI,paid,delivered,MUM-FC1,XpressBees,AWB3257501070,2026-06-09,2026-06-15,2026-06-13,,Bengaluru,560001
OI-000192,ORD-2026-000121,CUST-0139,2026-06-07 10:42,APL-BTM-M-067,APL-BTM-M-067-M-BRO,M,Brown,1,1799,1799,UPI,paid,delivered,MUM-FC1,XpressBees,AWB3257501070,2026-06-09,2026-06-15,2026-06-13,,Bengaluru,560001
OI-000193,ORD-2026-000121,CUST-0139,2026-06-07 10:42,APL-BTM-M-066,APL-BTM-M-066-S-NAV,S,Navy,1,599,599,UPI,paid,delivered,MUM-FC1,XpressBees,AWB3257501070,2026-06-09,2026-06-15,2026-06-13,,Bengaluru,560001
OI-000194,ORD-2026-000121,CUST-0139,2026-06-07 10:42,APL-TOP-F-071,APL-TOP-F-071-S-WHI,S,White,3,2499,7497,UPI,paid,delivered,MUM-FC1,XpressBees,AWB3257501070,2026-06-09,2026-06-15,2026-06-13,,Bengaluru,560001
OI-000195,ORD-2026-000122,CUST-0083,2026-06-08 08:20,APL-ACC-M-096,APL-ACC-M-096-M-BLA,M,Black,1,599,599,Wallet,paid,delivered,BLR-FC1,Delhivery,AWB1805288267,2026-06-09,2026-06-15,2026-06-12,,Hyderabad,500001
OI-000196,ORD-2026-000123,CUST-0058,2026-07-15 20:59,APL-TOP-F-022,APL-TOP-F-022-XXL-WHI,XXL,White,1,1499,1499,Wallet,paid,shipped,DEL-FC1,DTDC,AWB4970197737,2026-07-17,2026-07-23,,,Bengaluru,560001
OI-000197,ORD-2026-000123,CUST-0058,2026-07-15 20:59,APL-TOP-M-008,APL-TOP-M-008-L-ELE,L,Electric Blue,1,799,799,Wallet,paid,shipped,DEL-FC1,DTDC,AWB4970197737,2026-07-17,2026-07-23,,,Bengaluru,560001
OI-000198,ORD-2026-000124,CUST-0011,2026-06-30 18:10,APL-TOP-F-019,APL-TOP-F-019-S-FLH,S,Floral Teal,2,1999,3998,Wallet,paid,delivered,BLR-FC1,Delhivery,AWB5002591813,2026-07-02,2026-07-08,2026-07-06,,Jaipur,302001
OI-000199,ORD-2026-000125,CUST-0105,2026-07-01 19:05,APL-BTM-F-083,APL-BTM-F-083-XS-DEE,XS,Deep Plum,1,1499,1499,COD,paid,delivered,MUM-FC1,Bluedart,AWB6870420363,2026-07-04,2026-07-07,2026-07-09,,Chandigarh,160017
OI-000200,ORD-2026-000126,CUST-0080,2026-07-16 11:12,APL-BTM-F-029,APL-BTM-F-029-XS-BEI,XS,Beige,1,1499,1499,COD,pending,shipped,BLR-FC1,Bluedart,AWB6692883659,2026-07-16,2026-07-22,,,Bengaluru,560001
OI-000201,ORD-2026-000127,CUST-0006,2026-07-10 21:22,APL-TOP-F-026,APL-TOP-F-026-XL-SKY,XL,Sky,1,999,999,COD,paid,delivered,BLR-FC1,Delhivery,AWB7084902570,2026-07-13,2026-07-16,2026-07-19,,Ahmedabad,380001
OI-000202,ORD-2026-000128,CUST-0071,2026-06-23 19:54,APL-ACC-M-048,APL-ACC-M-048-S-BLA,S,Black-Lime,1,799,799,COD,paid,delivered,MUM-FC1,Bluedart,AWB5799401648,2026-06-24,2026-06-26,2026-06-28,,Lucknow,226001
